name,house,ancestry
Harry Potter,Gryffindor,half-blood
Hermione Granger,Gryffindor,muggleborn
Ron Weasley,Gryffindor,pure-blood
Draco Malfoy,Slytherin,pure-blood
Neville Longbottom,Gryffindor,pure-blood
Ginny Weasley,Gryffindor,pure-blood
Vincent Crabbe,Slytherin,pure-blood
Gregory Goyle,Slytherin,pure-blood
Percy Weasley,Gryffindor,pure-blood
Fred Weasley,Gryffindor,pure-blood
George Weasley,Gryffindor,pure-blood
Hannah Abbott,Hufflepuff,half-blood
Justin Finch-Fletchley,Hufflepuff,muggleborn
Seamus Finnigan,Gryffindor,half-blood
Theodore Nott,Slytherin,pure-blood
Colin Creevey,Gryffindor,muggleborn
Daphne Greengrass,Slytherin,pure-blood
James Potter,Gryffindor,half-blood
Albus Severus Potter,Slytherin,half-blood
Rose Weasley,Gryffindor,half-blood
Scorpius Malfoy,Slytherin,pure-blood
