id,app,category,rating,helpful_votes
31,Lookback,user research,5,47
97,Lookback,user research,5,47
101,Dovetail,research repository,5,47
134,Maze,usability testing,5,47
140,Dovetail,research repository,5,47
168,Dovetail,research repository,5,47
209,Maze,usability testing,5,47
262,Dovetail,research repository,5,47
86,Lookback,user research,5,46
493,Lookback,user research,5,46
496,Dovetail,research repository,5,46
42,Dovetail,research repository,5,45
181,Dovetail,research repository,5,45
206,Miro,collaborative whiteboard,5,45
405,Maze,usability testing,5,45
424,Dovetail,research repository,5,45
469,Maze,usability testing,5,45
55,Fieldkit,field research,5,44
129,Miro,collaborative whiteboard,5,44
350,Dovetail,research repository,5,44
40,Fieldkit,field research,5,43
50,Fieldkit,field research,5,43
58,Miro,collaborative whiteboard,5,43
104,Dovetail,research repository,5,43
265,Miro,collaborative whiteboard,5,43
324,Fieldkit,field research,5,43
499,Fieldkit,field research,5,43
21,Lookback,user research,5,42
107,Maze,usability testing,5,42
269,Maze,usability testing,5,42
205,Fieldkit,field research,5,41
246,Miro,collaborative whiteboard,5,41
408,Fieldkit,field research,5,41
454,Miro,collaborative whiteboard,5,41
16,Maze,usability testing,5,40
343,Miro,collaborative whiteboard,5,40
362,Maze,usability testing,5,40
458,Fieldkit,field research,5,40
190,Lookback,user research,5,39
358,Lookback,user research,5,39
486,Maze,usability testing,5,39
4,Dovetail,research repository,5,38
243,Dovetail,research repository,5,38
22,Miro,collaborative whiteboard,5,37
79,Fieldkit,field research,5,37
126,Fieldkit,field research,5,37
276,Miro,collaborative whiteboard,5,36
309,Maze,usability testing,5,36
410,Miro,collaborative whiteboard,5,36
443,Miro,collaborative whiteboard,5,36
116,Miro,collaborative whiteboard,5,35
185,Dovetail,research repository,5,35
203,Lookback,user research,5,35
220,Miro,collaborative whiteboard,5,35
292,Dovetail,research repository,5,35
8,Maze,usability testing,5,34
24,Fieldkit,field research,5,34
72,Miro,collaborative whiteboard,5,34
136,Miro,collaborative whiteboard,5,34
211,Fieldkit,field research,5,34
431,Miro,collaborative whiteboard,5,34
17,Lookback,user research,5,33
133,Fieldkit,field research,5,33
150,Lookback,user research,5,33
247,Lookback,user research,5,33
273,Dovetail,research repository,5,33
312,Miro,collaborative whiteboard,5,33
59,Miro,collaborative whiteboard,5,32
173,Maze,usability testing,5,32
316,Lookback,user research,5,32
337,Miro,collaborative whiteboard,5,32
383,Fieldkit,field research,5,32
475,Lookback,user research,5,32
485,Dovetail,research repository,5,32
139,Miro,collaborative whiteboard,5,31
398,Miro,collaborative whiteboard,5,31
419,Maze,usability testing,5,31
427,Maze,usability testing,5,31
272,Miro,collaborative whiteboard,5,30
278,Maze,usability testing,5,30
295,Lookback,user research,5,30
450,Lookback,user research,5,30
84,Dovetail,research repository,5,29
222,Dovetail,research repository,5,29
338,Lookback,user research,5,29
385,Maze,usability testing,5,29
87,Lookback,user research,5,28
96,Miro,collaborative whiteboard,5,28
149,Dovetail,research repository,5,28
20,Miro,collaborative whiteboard,5,27
65,Miro,collaborative whiteboard,5,27
100,Maze,usability testing,5,27
160,Dovetail,research repository,5,27
201,Fieldkit,field research,5,27
282,Fieldkit,field research,5,27
382,Fieldkit,field research,5,27
46,Dovetail,research repository,5,26
81,Miro,collaborative whiteboard,5,26
261,Lookback,user research,5,26
304,Lookback,user research,5,26
332,Miro,collaborative whiteboard,5,26
399,Dovetail,research repository,5,26
489,Fieldkit,field research,5,26
29,Lookback,user research,5,25
162,Maze,usability testing,5,25
464,Miro,collaborative whiteboard,5,25
240,Fieldkit,field research,5,24
333,Dovetail,research repository,5,24
487,Fieldkit,field research,5,24
7,Fieldkit,field research,5,23
77,Miro,collaborative whiteboard,5,23
132,Dovetail,research repository,5,23
137,Maze,usability testing,5,23
186,Maze,usability testing,5,23
215,Dovetail,research repository,5,23
379,Miro,collaborative whiteboard,5,23
143,Dovetail,research repository,5,22
414,Miro,collaborative whiteboard,5,22
71,Lookback,user research,5,21
263,Maze,usability testing,5,21
327,Miro,collaborative whiteboard,5,21
54,Lookback,user research,5,20
235,Miro,collaborative whiteboard,5,20
266,Dovetail,research repository,5,20
320,Dovetail,research repository,5,20
57,Dovetail,research repository,5,19
78,Lookback,user research,5,19
328,Miro,collaborative whiteboard,5,19
377,Lookback,user research,5,19
394,Lookback,user research,5,19
423,Maze,usability testing,5,19
425,Lookback,user research,5,19
482,Dovetail,research repository,5,19
127,Miro,collaborative whiteboard,5,18
199,Dovetail,research repository,5,18
83,Maze,usability testing,5,17
359,Dovetail,research repository,5,17
365,Maze,usability testing,5,17
463,Dovetail,research repository,5,17
89,Miro,collaborative whiteboard,5,16
131,Dovetail,research repository,5,16
193,Miro,collaborative whiteboard,5,16
257,Maze,usability testing,5,15
285,Fieldkit,field research,5,15
297,Miro,collaborative whiteboard,5,15
361,Miro,collaborative whiteboard,5,15
396,Miro,collaborative whiteboard,5,15
6,Lookback,user research,5,14
221,Maze,usability testing,5,14
299,Miro,collaborative whiteboard,5,14
461,Dovetail,research repository,5,14
374,Dovetail,research repository,5,13
381,Miro,collaborative whiteboard,5,13
429,Fieldkit,field research,5,13
402,Maze,usability testing,5,12
63,Dovetail,research repository,5,11
73,Miro,collaborative whiteboard,5,11
161,Lookback,user research,5,11
314,Fieldkit,field research,5,11
393,Fieldkit,field research,5,11
98,Dovetail,research repository,5,10
342,Fieldkit,field research,5,10
404,Maze,usability testing,5,10
434,Lookback,user research,5,10
491,Maze,usability testing,5,10
76,Fieldkit,field research,5,9
159,Fieldkit,field research,5,9
164,Maze,usability testing,5,9
19,Lookback,user research,5,8
227,Lookback,user research,5,8
271,Fieldkit,field research,5,8
194,Miro,collaborative whiteboard,5,7
225,Lookback,user research,5,7
330,Miro,collaborative whiteboard,5,7
448,Fieldkit,field research,5,7
498,Miro,collaborative whiteboard,5,7
25,Lookback,user research,5,6
119,Miro,collaborative whiteboard,5,6
123,Dovetail,research repository,5,6
335,Maze,usability testing,5,6
339,Lookback,user research,5,6
436,Miro,collaborative whiteboard,5,6
5,Fieldkit,field research,5,5
196,Maze,usability testing,5,5
198,Miro,collaborative whiteboard,5,5
439,Maze,usability testing,5,5
492,Miro,collaborative whiteboard,5,5
68,Maze,usability testing,5,4
99,Miro,collaborative whiteboard,5,4
145,Lookback,user research,5,4
277,Miro,collaborative whiteboard,5,4
178,Maze,usability testing,5,3
294,Miro,collaborative whiteboard,5,3
122,Maze,usability testing,5,2
229,Lookback,user research,5,2
242,Maze,usability testing,5,2
248,Lookback,user research,5,2
494,Maze,usability testing,5,2
495,Maze,usability testing,5,2
331,Dovetail,research repository,5,1
432,Miro,collaborative whiteboard,5,1
452,Maze,usability testing,5,1
460,Miro,collaborative whiteboard,5,1
15,Lookback,user research,5,0
306,Lookback,user research,5,0
390,Fieldkit,field research,5,0
462,Maze,usability testing,5,0
70,Lookback,user research,4,47
296,Maze,usability testing,4,47
329,Dovetail,research repository,4,47
14,Miro,collaborative whiteboard,4,46
155,Dovetail,research repository,4,46
364,Maze,usability testing,4,46
250,Dovetail,research repository,4,45
69,Maze,usability testing,4,44
290,Lookback,user research,4,44
363,Miro,collaborative whiteboard,4,44
26,Miro,collaborative whiteboard,4,43
44,Fieldkit,field research,4,43
135,Fieldkit,field research,4,43
166,Miro,collaborative whiteboard,4,43
231,Fieldkit,field research,4,43
245,Lookback,user research,4,43
380,Dovetail,research repository,4,43
384,Dovetail,research repository,4,43
121,Fieldkit,field research,4,41
176,Miro,collaborative whiteboard,4,41
208,Lookback,user research,4,41
260,Miro,collaborative whiteboard,4,41
352,Fieldkit,field research,4,41
66,Lookback,user research,4,40
177,Lookback,user research,4,40
183,Maze,usability testing,4,40
289,Maze,usability testing,4,40
388,Miro,collaborative whiteboard,4,40
171,Miro,collaborative whiteboard,4,39
218,Miro,collaborative whiteboard,4,39
319,Miro,collaborative whiteboard,4,39
180,Fieldkit,field research,4,38
465,Fieldkit,field research,4,38
490,Fieldkit,field research,4,38
115,Miro,collaborative whiteboard,4,37
348,Maze,usability testing,4,37
370,Dovetail,research repository,4,37
418,Miro,collaborative whiteboard,4,37
117,Miro,collaborative whiteboard,4,36
353,Miro,collaborative whiteboard,4,36
444,Miro,collaborative whiteboard,4,36
88,Fieldkit,field research,4,35
154,Lookback,user research,4,35
391,Miro,collaborative whiteboard,4,35
11,Miro,collaborative whiteboard,4,34
334,Lookback,user research,4,34
413,Fieldkit,field research,4,34
38,Dovetail,research repository,4,33
210,Miro,collaborative whiteboard,4,33
456,Fieldkit,field research,4,33
483,Fieldkit,field research,4,33
102,Maze,usability testing,4,32
109,Lookback,user research,4,31
468,Lookback,user research,4,31
477,Maze,usability testing,4,31
500,Lookback,user research,4,31
420,Dovetail,research repository,4,30
438,Lookback,user research,4,30
470,Dovetail,research repository,4,30
474,Maze,usability testing,4,30
64,Lookback,user research,4,29
298,Maze,usability testing,4,29
354,Dovetail,research repository,4,29
395,Lookback,user research,4,29
142,Lookback,user research,4,28
406,Maze,usability testing,4,28
158,Lookback,user research,4,27
170,Fieldkit,field research,4,27
307,Maze,usability testing,4,27
479,Dovetail,research repository,4,27
347,Miro,collaborative whiteboard,4,25
484,Dovetail,research repository,4,25
192,Dovetail,research repository,4,24
280,Miro,collaborative whiteboard,4,24
349,Dovetail,research repository,4,24
378,Lookback,user research,4,24
430,Fieldkit,field research,4,24
389,Miro,collaborative whiteboard,4,23
106,Lookback,user research,4,22
169,Dovetail,research repository,4,22
3,Lookback,user research,4,21
85,Miro,collaborative whiteboard,4,21
184,Fieldkit,field research,4,21
